Substance,Effect,Risk Factor(s),Impact
ANTICAKING,"Kidneys might also get affected, if inhaled or consumed in excess quantity, causing autoimmune diseases.","Respiratory issues, potential carcinogen if inhaled",1
AGENT,"Kidneys might also get affected, if inhaled or consumed in excess quantity, causing autoimmune diseases.","Respiratory issues, potential carcinogen if inhaled",1
SILICA,"Kidneys might also get affected, if inhaled or consumed in excess quantity, causing autoimmune diseases.","Respiratory issues, potential carcinogen if inhaled",1
POTASSIUM,Gastro intestinal tract bleeding.,"Hyperkalemia (high potassium levels), gastrointestinal irritation",0
CHLORIDE,Gastro intestinal tract bleeding.,"Hyperkalemia (high potassium levels), gastrointestinal irritation",0
ETHYL,"headaches, nausea and vomiting. If comsumed in excess could effect the liver and kidney functions","Generally recognized as safe (GRAS), but excessive intake might cause gastrointestinal discomfort",0
MALTOL,"headaches, nausea and vomiting. If comsumed in excess could effect the liver and kidney functions","Generally recognized as safe (GRAS), but excessive intake might cause gastrointestinal discomfort",0
FLAVOUR,Its considerd unsafe for babies and children as well as unadvisable for pregnant and lactating mothers.,"Generally considered safe, but can cause allergic reactions or gastrointestinal issues in some individuals",0
ENHANCER,Its considerd unsafe for babies and children as well as unadvisable for pregnant and lactating mothers.,"Generally considered safe, but can cause allergic reactions or gastrointestinal issues in some individuals",0
ACACIA,"Excessive eating causes gas, bloating and nausea","Generally considered safe, but can cause allergic reactions or gastrointestinal issues in some individuals",0
GUM,"Excessive eating causes gas, bloating and nausea","Generally considered safe, but can cause allergic reactions or gastrointestinal issues in some individuals",0
PAPRIKA,None,"Generally considered safe, but can cause allergic reactions in some individuals",0
EXTRACT,None,"Generally considered safe, but can cause allergic reactions in some individuals",0
SODIUM,"Allergic reactions, potential hyperactivity","Can form benzene (a carcinogen) when combined with vitamin C, potential allergen, hyperactivity in children",0
BENZOATE,"Allergic reactions, potential hyperactivity","Can form benzene (a carcinogen) when combined with vitamin C, potential allergen, hyperactivity in children",0
POTASSIUM,"Allergic reactions, potential behavioral effects","Skin and eye irritation, potential allergen",0
SORBATE,"Allergic reactions, potential behavioral effects","Skin and eye irritation, potential allergen",0
BHA,"Potential cancer risk, hormonal effects","Potential carcinogen, endocrine disruptor",0
(BUTYLATED,"Potential cancer risk, hormonal effects","Potential carcinogen, endocrine disruptor",0
HYDROXYANISOLE),"Potential cancer risk, hormonal effects","Potential carcinogen, endocrine disruptor",0
